,train_losses,valid_losses,valid_accuracy
0,4.133802924643863,3.752675235271454,0.1028
1,3.5265337743542413,3.4199846267700194,0.1766
2,2.957093954763629,2.847387945652008,0.28
3,2.490313591604883,3.072437804937363,0.2948
4,2.1363900073549966,2.2036181807518007,0.4116
5,1.8904053572226653,2.0926970481872558,0.4496
6,1.7114326764236798,1.879286029934883,0.481
7,1.57730749825185,1.979609841108322,0.469
8,1.4628187455236912,2.0345367431640624,0.4818
9,1.3931171579117125,1.7390808433294296,0.529
10,1.3291322666813026,1.7754551693797112,0.501
11,1.2822208324955269,1.59253671169281,0.5646
12,1.2358148843050003,1.7791095465421676,0.5214
13,1.206755142658949,1.8846222549676894,0.5058
14,1.1605290106751702,1.9388858795166015,0.5024
15,1.1403737335719846,2.01736224591732,0.4932
16,1.112602343105457,1.7100703835487365,0.5462
17,1.0881980115717107,1.622792688012123,0.5602
18,1.0584509081461213,1.748381868004799,0.5452
19,1.045036574148319,1.9419697105884552,0.5138
20,1.0294871486046098,1.540986879169941,0.5748
21,1.01087777773765,1.6202796190977096,0.5724
22,1.0056063018061898,1.8031348198652268,0.5484
23,0.9714766762812029,1.9993820637464523,0.5192
24,0.9792855395512148,1.768992680311203,0.5664
25,0.9408807742663405,1.876655149459839,0.5346
26,0.9450678324157541,1.900929719209671,0.53
27,0.9342337138950825,1.8116892248392105,0.5594
28,0.9191246606748212,1.722006380558014,0.5748
29,0.9194015850397673,1.9589630722999574,0.5204
30,0.5591971522027795,1.1222393915057183,0.6952
31,0.49356615636497736,1.2296502053737641,0.6772
32,0.4901371185075153,1.2171704441308975,0.6684
33,0.5132316882637414,1.2638499200344087,0.6672
34,0.5233134657821872,1.25264680236578,0.6638
35,0.5144010549411178,1.5143198996782303,0.6242
36,0.5269224110313437,1.5657636940479278,0.615
37,0.5075317672877149,1.3976843327283859,0.6388
38,0.5090696083551104,1.5210097908973694,0.6154
39,0.5030043125999245,1.4140315413475038,0.6452
40,0.4883697335184975,1.4815597236156464,0.6444
41,0.4817598598416556,1.3256591781973839,0.6536
42,0.48323754966259,1.627214750647545,0.61
43,0.46730613005770877,1.442795592546463,0.6346
44,0.4728972137990323,1.331011962890625,0.6586
45,0.44677780073305423,1.4540928274393081,0.6434
46,0.44787559611722827,1.4678318724036217,0.6342
47,0.4526424582793631,1.365905150771141,0.657
48,0.4399292055856098,1.3746884495019913,0.66
49,0.43637268693948333,1.5296264737844467,0.6204
50,0.43120563140308316,1.4928480058908462,0.6342
51,0.4265498789027333,1.516241727769375,0.6272
52,0.4213851615363224,1.592172881960869,0.6154
53,0.4312632481821559,1.5357327908277512,0.6394
54,0.4200294113040648,1.5359235018491746,0.6226
55,0.403289341410114,1.3586346924304962,0.6506
56,0.4119824424640022,1.3718310460448264,0.648
57,0.39964253463867033,1.506520126760006,0.6376
58,0.39839258790016174,1.4929874420166016,0.6374
59,0.3993165782991458,1.4051655977964401,0.6492
60,0.14298603105866772,0.9401802942156792,0.768
61,0.07703142318959263,0.9367006048560143,0.7718
62,0.060212173499166965,0.9724580481648445,0.7638
63,0.05588703023650768,0.9871755480766297,0.7552
64,0.0532262981551784,0.9432409435510636,0.7676
65,0.062111072199927134,1.0994623854756356,0.7418
66,0.08213685784192587,1.125652013719082,0.7396
67,0.11442749592771922,1.2288170516490937,0.7116
68,0.16470716839698565,1.2731317698955535,0.703
69,0.19015449376522817,1.4272758424282075,0.6722
70,0.21094629814086313,1.3737643659114838,0.6798
71,0.2016080897936428,1.277061040699482,0.7042
72,0.19782703729685058,1.321418422460556,0.6902
73,0.1996231559367681,1.3488067820668221,0.6718
74,0.18403927859088237,1.2351585254073143,0.7026
75,0.18091625845144418,1.2909843772649765,0.6808
76,0.1865713583855805,1.438021218776703,0.6748
77,0.18246403649788012,1.3325855448842048,0.6842
78,0.1833351947451857,1.3741465300321578,0.677
79,0.18039772493383763,1.3290177121758462,0.6858
80,0.18697231135923753,1.3107308730483056,0.6916
81,0.16282116558233445,1.369193507730961,0.6914
82,0.18153190286830068,1.5319844126701354,0.6494
83,0.17694875569379126,1.2259648963809013,0.7034
84,0.1668043075002391,1.4369772285223008,0.672
85,0.1760063258592378,1.3550892561674117,0.6832
86,0.17277310325086795,1.32332573980093,0.7002
87,0.17252624961970883,1.4065078407526017,0.6706
88,0.16891918384300714,1.3941721588373184,0.6698
89,0.1698663892668926,1.4214103013277053,0.6934
90,0.04931510900231925,0.9228792786598206,0.7776
91,0.021290125740713185,0.9021321564912796,0.7896
92,0.014093594429802826,0.8690955519676209,0.7916
93,0.011594673348802396,0.8466422244906425,0.7942
94,0.011669004108460451,0.8473530143499375,0.7964
95,0.011372864307221871,0.8382242232561111,0.7986
96,0.010210759768431837,0.8638040795922279,0.7942
97,0.01065084931244862,0.7994719356298446,0.8002
98,0.011025645367970521,0.8189646542072296,0.8024
99,0.011862430107695136,0.8181752800941468,0.7968
100,0.011933826209067112,0.8459872514009475,0.8006
101,0.012429070468484,0.80285819247365,0.7998
102,0.011982913891022856,0.7892705798149109,0.8078
103,0.01261703652033413,0.7872214466333389,0.8018
104,0.01230857826621187,0.8213271096348762,0.8022
105,0.011901406825266102,0.8306203380227088,0.8022
106,0.012497768123549495,0.8027473002672195,0.8038
107,0.012478610717649148,0.7963890016078949,0.801
108,0.013867187088842249,0.8040073409676551,0.8006
109,0.013192571461497044,0.845266543328762,0.7942
